District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
udaipur,2011,1,MARGINAL (BELOW 1.0),192169,38169,35680,280,2528,561,421198486,0,0,0,0,5618976,19666418,42142324,18261673,140474415,0,2809488,581339319,42142324,26690137,650171780,183038163,52677905,345623251,581339319,17137
udaipur,2011,2,SMALL (1.0 - 1.99),72347,19478,17574,215,1509,754,241731704,0,0,0,5390983,0,16604229,16172950,25337622,45284262,2695491,0,303620195,24259424,25337622,353217241,123992622,28464393,151163180,303620195,7978
udaipur,2011,3,SEMI-MEDIUM (2.0 - 3.99),41287,13080,11260,460,987,1251,190216518,0,0,0,23014045,0,42669818,14157424,0,63543787,23376212,16462121,296430123,60547681,16462121,373439925,79920306,34833848,181675969,296430123,5530
udaipur,2011,4,MEDIUM (4.0 - 9.99),15827,5014,3902,291,547,656,80976620,0,0,0,11633209,1094032,9663951,10028629,6564193,20786612,10575645,10940322,111427183,32237483,18598547,162263213,44399475,19874919,47152789,111427183,1749
udaipur,2011,5,LARGE (10 AND ABOVE),1900,717,616,0,116,149,27583333,0,0,0,0,0,2083333,7916666,0,13333333,3333333,9166666,42999999,11249999,9166666,63416664,8174999,8533333,26291667,42999999,32
alwar,2006,1,MARGINAL (BELOW 1.0),178540,37621,9180,633,4115,24691,134221560,0,0,0,6331205,94968085,85471276,55398049,0,525610363,239414542,488769077,745303199,301143796,583737162,1630184157,25242517,0,720060682,745303199,1264
alwar,2006,2,SMALL (1.0 - 1.99),87701,30387,7715,472,5825,17477,146273301,0,0,0,0,51172037,120766008,130213154,47235727,516129044,298529795,251923877,783168353,428742949,350331641,1562242943,16091637,3306500,763770216,783168353,628
alwar,2006,3,SEMI-MEDIUM (2.0 - 3.99),55082,18819,4479,610,3359,11403,98845412,0,0,0,15984979,43271441,123603600,75445031,53656587,359611134,196503253,312063456,582060146,287933263,408991484,1278984893,10894221,305445,570860480,582060146,404
alwar,2006,4,MEDIUM (4.0 - 9.99),23030,10645,1679,239,2255,7484,55967697,0,0,0,18232083,9595833,107233437,74223770,26868333,387287832,279022843,111551562,550488966,371478696,148015728,1069983390,8348374,1439374,540701218,550488966,188
alwar,2006,5,LARGE (10 AND ABOVE),1862,866,135,16,84,727,7109454,0,0,0,0,5924545,5755272,2539090,0,47988818,22564054,49766181,60853544,25103144,55690726,141647414,744799,0,60108745,60853544,64
alwar,2016,1,MARGINAL (BELOW 1.0),268570,119314,16123,1843,84763,23955,412760320,0,0,0,128987600,0,2423124200,2930321870,799262450,1131405520,343199150,297132150,3967290040,3402508620,1096394600,8466193260,536680550,796959100,2633650390,3967290040,171370
alwar,2016,2,SMALL (1.0 - 1.99),100548,62160,6339,1233,48601,10213,250752160,0,0,0,222753850,0,2484453810,3197794400,850866880,605221330,173483868,417333300,3340427300,3594032118,1268200180,8202659598,465758050,689744530,2184924720,3340427300,83642
alwar,2016,3,SEMI-MEDIUM (2.0 - 3.99),51518,34533,2228,557,27663,5570,127966155,0,0,0,170807200,0,1897166710,3203933135,577959580,631244000,182596610,323976700,2656376865,3557336945,901936280,7115650090,326297450,721938910,1608140505,2656376865,51336
alwar,2016,4,MEDIUM (4.0 - 9.99),15211,11316,705,260,9609,1595,55650000,0,0,0,54166000,3710000,905833600,1584021600,445014500,167840400,124470500,126140000,1129324000,1762658100,574864500,3466846600,129664500,284260200,715399300,1129324000,15877
alwar,2016,5,LARGE (10 AND ABOVE),964,794,43,0,695,113,6168300,0,0,0,0,0,97842000,130810500,55940100,13896400,9358800,21270000,117906700,140169300,77210100,335286100,1843400,13896400,102166900,117906700,1303
banswar,2006,1,MARGINAL (BELOW 1.0),129594,20832,15012,306,919,4595,103093099,0,0,0,0,107229078,7659219,0,3063687,18382127,77204936,3063687,129134445,77204936,113356452,319695833,36473204,9834438,82826803,129134445,612
banswar,2006,2,SMALL (1.0 - 1.99),43118,10276,7098,0,0,3178,71086432,0,0,0,0,0,0,0,0,20446619,15361449,60916093,91533051,15361449,60916093,167810593,32460332,7384089,51688630,91533051,210
banswar,2006,3,SEMI-MEDIUM (2.0 - 3.99),26513,8087,5098,135,543,2651,54283667,0,0,0,14276230,0,5438564,3399102,0,29286667,13596410,55745281,89008898,31271742,55745281,176025921,27784264,11081074,50143560,89008898,134
banswar,2006,4,MEDIUM (4.0 - 9.99),9799,3389,1879,100,302,1174,31890107,0,0,0,2013493,5033732,9564092,0,2013493,11074212,14396475,45706294,52528411,16409968,52753519,121691898,13193078,3782011,35553322,52528411,66
banswar,2006,5,LARGE (10 AND ABOVE),699,95,27,0,0,68,959411,0,0,0,0,0,0,0,0,685294,411176,0,1644705,411176,0,2055881,479705,205588,959412,1644705,26
banswara,2016,1,MARGINAL (BELOW 1.0),193448,89213,74193,1366,14565,7283,1270242919,0,0,0,27310200,25034350,600824400,75103050,0,235778060,18206800,18206800,2106845379,120620050,43241150,2270706579,545839864,123351070,1437654445,2106845379,21848
banswara,2016,2,SMALL (1.0 - 1.99),42882,30736,25255,107,6663,5588,851216135,0,0,0,5373500,0,229555920,333479410,55884400,285332850,76303700,20419300,1366104905,415156610,76303700,1857565215,320797950,108920845,936386110,1366104905,7844
banswara,2016,3,SEMI-MEDIUM (2.0 - 3.99),21786,16413,13142,175,4673,2921,523528830,0,0,0,14602500,11682000,249994800,315998100,101341350,188839530,53737200,22195800,962363160,384337800,135219150,1481920110,204259770,98829720,659273670,962363160,4907
banswara,2016,4,MEDIUM (4.0 - 9.99),7054,4958,3626,28,1700,1671,153123650,0,0,0,1416500,1416500,128759850,150998900,111903500,133434300,54960200,29179900,415317800,207375600,142499900,765193300,55045190,29463200,330809410,415317800,2152
banswara,2016,5,LARGE (10 AND ABOVE),537,384,184,15,199,107,7439900,0,0,0,1534000,1534000,20095400,54763800,1840800,7363200,13806000,13806000,34898500,70103800,17180800,122183100,3758300,153400,30986800,34898500,291
baran,2006,1,MARGINAL (BELOW 1.0),52965,9688,4086,314,2043,3457,54379495,0,0,0,4714985,0,53436498,14930786,0,16659614,30647403,120232121,124475607,50293174,120232121,295000902,15166535,3379072,105930000,124475607,314
baran,2006,2,SMALL (1.0 - 1.99),38782,11474,3639,454,1705,5800,61528041,0,0,0,22746041,0,44013589,7961114,0,46515653,72503005,155127999,152057283,103210160,155127999,410395442,23394303,3980557,124682423,152057283,339
baran,2006,3,SEMI-MEDIUM (2.0 - 3.99),34589,15380,3039,1467,1886,9642,66767251,0,0,0,74733203,26937493,91398812,7337060,0,189505793,162882745,321363254,347671856,244953008,348300747,940925611,22063589,8123174,317485093,347671856,312
baran,2006,4,MEDIUM (4.0 - 9.99),20121,11449,2026,628,1187,7964,74461672,0,0,0,71611197,1397291,118071145,18863437,48905208,258498958,213128897,445318740,451031775,303603531,495621239,1250256545,38691006,9012531,403328238,451031775,207
baran,2006,5,LARGE (10 AND ABOVE),2801,1860,224,204,204,1328,11858248,0,0,0,63175839,0,21058613,19422992,8178102,67980474,55631539,113164488,100897335,138230370,121342590,360470295,6133576,511131,94252628,100897335,60
baran,2016,1,MARGINAL (BELOW 1.0),69871,28655,16879,785,10598,1963,629029325,0,0,0,39253000,0,756012780,0,15701200,90281900,0,0,1475324005,39253000,15701200,1530278205,60449620,4317830,1410556555,1475324005,7066
baran,2016,2,SMALL (1.0 - 1.99),46751,27488,13203,0,14501,2814,880867512,0,0,0,0,0,1112501600,75754000,162330000,283536400,10822000,0,2276905512,86576000,162330000,2525811512,55192200,10822000,2210891312,2276905512,5194
baran,2016,3,SEMI-MEDIUM (2.0 - 3.99),37739,29222,13479,323,19517,3990,1056087020,0,0,0,43132000,21566000,2644854240,26957500,168753950,551550450,0,0,4252491710,70089500,190319950,4512901160,151716810,49601800,4051173100,4252491710,4098
baran,2016,4,MEDIUM (4.0 - 9.99),17726,15007,6774,81,12452,1663,641111640,0,0,0,13384800,0,2974102560,131008800,196716000,331780800,12168000,0,3946995000,156561600,196716000,4300272600,104442000,32245200,3810307800,3946995000,2678
baran,2016,5,LARGE (10 AND ABOVE),1782,1649,810,45,1256,327,85370700,0,0,0,8618800,1486000,528161550,34400900,13002500,115053550,0,0,728585800,43019700,14488500,786094000,23701700,15506410,689377690,728585800,333
bharatpur,2006,1,MARGINAL (BELOW 1.0),136825,35905,6423,1284,5138,25694,80938732,0,0,0,36936326,0,81902288,16059272,0,443396508,173761326,11241490,606237528,226756924,11241490,844235942,19271126,5460152,581506250,606237528,963
bharatpur,2006,2,SMALL (1.0 - 1.99),58160,29710,3339,1113,5426,22262,40767655,0,0,0,59829665,0,159870430,47307177,5565550,673570717,189228708,58438277,874208802,296365550,64003827,1234578179,57881722,13844306,802482774,874208802,417
bharatpur,2006,3,SEMI-MEDIUM (2.0 - 3.99),41160,25981,3574,1327,3778,20528,64773379,0,0,0,86609627,25533498,142579057,134816873,35746898,1058669925,151873250,73536476,1266022361,373299750,134816872,1774138983,43968684,49534987,1172518690,1266022361,306
bharatpur,2006,4,MEDIUM (4.0 - 9.99),20279,13715,1388,666,1666,11611,41280265,0,0,0,130563424,0,139452849,59725821,55558904,1139013092,215457430,115284726,1319746206,405746675,170843630,1896336511,27334980,43363724,1249047502,1319746206,165
bharatpur,2006,5,LARGE (10 AND ABOVE),1792,1303,17,17,71,1308,1792000,0,0,0,3584000,0,12185600,0,0,223193600,25984000,28672000,237171200,29568000,28672000,295411200,5196800,4659200,227315200,237171200,51
bharatpur,2016,1,MARGINAL (BELOW 1.0),175648,59697,2870,0,55105,2296,48216840,0,0,0,0,0,1511368330,2735157650,180813150,79787390,299633220,0,1639372560,3034790870,180813150,4854976580,12628220,0,1626744340,1639372560,60271
bharatpur,2016,2,SMALL (1.0 - 1.99),69177,41012,988,1482,35330,3459,51882600,0,0,0,58306160,187765600,1869255960,1758078960,609991140,189247960,164789020,21000100,2110386520,1981174140,818756840,4910317500,13588300,9882400,2086915820,2110386520,31870
bharatpur,2016,3,SEMI-MEDIUM (2.0 - 3.99),40550,28348,718,628,25209,1794,30949950,0,0,0,135013550,0,1796711880,1896200270,743606190,78944800,179509710,33461830,1906606630,2210723530,777068020,4894398180,76702050,0,1829904580,1906606630,25120
bharatpur,2016,4,MEDIUM (4.0 - 9.99),15887,11681,283,377,10488,565,43960000,0,0,0,91845000,37680000,1249311800,1295250000,716234000,53537000,82801800,11869200,1346808800,1469896800,765783200,3582488800,30772000,15072000,1300964800,1346808800,12528
bharatpur,2016,5,LARGE (10 AND ABOVE),1065,918,7,7,838,67,536000,0,0,0,0,1326600,144867400,133822450,82276000,10050000,9849000,10311300,155453400,143671450,93913900,393038750,5293000,1340000,148820400,155453400,951
bhilwara,2006,1,MARGINAL (BELOW 1.0),119785,22458,12799,1449,3139,5071,108192903,0,0,0,35017792,2415020,99740332,0,2415020,70760090,22942691,48300403,278693325,57960483,53130443,389784251,22701189,6399803,249592333,278693325,723
bhilwara,2006,2,SMALL (1.0 - 1.99),81692,19994,10085,504,2521,7900,125395539,0,0,0,8404526,6723621,52948518,11766337,92449794,99845777,127916897,66395761,278189834,148087760,165569176,591846770,31979224,3866082,242344528,278189834,504
bhilwara,2006,3,SEMI-MEDIUM (2.0 - 3.99),60839,17376,8145,1527,2163,6363,125534530,0,0,0,52820470,29910387,44038271,19600849,72548598,235401109,212045552,6363912,404973910,284466871,108822897,798263678,19189740,5091129,380693041,404973910,381
bhilwara,2006,4,MEDIUM (4.0 - 9.99),28752,10319,4692,594,1718,4031,94097033,0,0,0,17383393,27760551,55521103,14012468,8592551,191865731,80109020,55851586,341483867,111504881,92204688,545193436,20519013,7039282,313925572,341483867,198
bhilwara,2006,5,LARGE (10 AND ABOVE),3547,1512,638,242,286,594,10201921,0,0,0,12888167,9253043,5838229,4075745,8922577,20974666,5111204,10134285,37014816,22075116,28309905,87399837,4270720,1387956,31356140,37014816,66
bhilwara,2016,1,MARGINAL (BELOW 1.0),184472,83966,61066,1272,16115,11026,1280515835,0,0,0,43885308,0,1094100600,413468250,36045950,617021850,284148104,10601750,2991638285,741501662,46647700,3779787647,278401955,50464330,2662772000,2991638285,32652
bhilwara,2016,2,SMALL (1.0 - 1.99),91296,51971,29246,395,19168,11066,1133083093,0,0,0,29641500,0,1887570720,523666500,29641500,898335060,167632761,0,3918988873,720940761,29641500,4669571134,109772355,33000870,3776215648,3918988873,19563
bhilwara,2016,3,SEMI-MEDIUM (2.0 - 3.99),57861,36566,20568,1143,14543,8103,787056896,0,0,0,89856200,92453200,1903808760,445645200,29086400,1014076560,137121600,0,3704942216,672623000,121539600,4499104816,149917019,20464360,3534560837,3704942216,15166
bhilwara,2016,4,MEDIUM (4.0 - 9.99),22897,15904,8955,446,6549,4054,475512221,0,0,0,78630750,14924250,1018858500,324324000,18711000,797712300,72200403,4455000,2292083021,475155153,38090250,2805328424,122177261,34281225,2135624535,2292083021,6639
bhilwara,2016,5,LARGE (10 AND ABOVE),2526,1802,1078,44,827,399,85898421,0,0,0,10634400,0,212141510,32494000,7385000,102887820,8123500,4431000,400927751,51251900,11816000,463995651,24075100,2791530,374061121,400927751,783
bikaner,2006,1,MARGINAL (BELOW 1.0),3061,190,143,0,0,47,1434843,0,0,0,0,0,0,0,0,0,0,13152734,1434843,0,13152734,14587577,0,0,1434843,1434843,94
bikaner,2006,2,SMALL (1.0 - 1.99),7689,615,430,61,0,246,6458760,0,0,0,0,21529200,0,0,0,6323433,4305840,0,12782193,4305840,21529200,38617233,0,0,12782193,12782193,122
bikaner,2006,3,SEMI-MEDIUM (2.0 - 3.99),29342,4115,2076,692,276,1245,31141273,0,0,0,15916650,51902122,4152169,0,3460141,27681132,38020034,34601415,62974574,53936684,89963678,206874936,0,0,62974574,62974574,276
bikaner,2006,4,MEDIUM (4.0 - 9.99),92527,13759,7088,1865,0,5596,131328645,0,0,0,46636592,180949979,0,0,0,19699296,120882048,471962318,151027941,167518640,652912297,971458878,14923709,3730927,132373305,151027941,746
bikaner,2006,5,LARGE (10 AND ABOVE),59871,11692,4425,1041,0,6768,96834834,0,0,0,78092608,78092608,0,0,0,91108043,281281767,708039652,187942877,359374375,786132260,1333449512,1041234,3253858,183647785,187942877,520
bikaner,2016,1,MARGINAL (BELOW 1.0),12958,1379,138,0,965,276,6892500,0,0,0,0,0,17920500,39921360,13785000,24123750,0,0,48936750,39921360,13785000,102643110,0,0,48936750,48936750,138
bikaner,2016,2,SMALL (1.0 - 1.99),21117,2625,239,0,2148,239,8351700,0,0,0,0,0,155699550,128854800,175385700,11931000,0,0,175982250,128854800,175385700,480222750,0,2386200,173596050,175982250,716
bikaner,2016,3,SEMI-MEDIUM (2.0 - 3.99),55820,14976,1815,0,11119,2042,72611200,0,0,0,0,0,1054677680,311193450,331969330,115270280,38574700,396184860,1242559160,349768150,728154190,2320481500,23825550,0,1218733610,1242559160,1135
bikaner,2016,4,MEDIUM (4.0 - 9.99),127901,43102,2811,469,37012,3280,127432000,0,0,0,0,117125000,3789731638,2157442500,1416744000,468500000,187400000,0,4385663638,2344842500,1533869000,8264375138,42165000,125089500,4218409138,4385663638,9372
bikaner,2016,5,LARGE (10 AND ABOVE),56170,20092,1512,0,17283,1944,122926760,0,0,0,0,0,2382921200,1324325200,1938959000,451523600,205238000,216040000,2957371560,1529563200,2154999000,6641933760,6481200,28733320,2922157040,2957371560,6697
bundi,2006,1,MARGINAL (BELOW 1.0),53183,10609,5449,0,3269,2833,71055975,0,0,0,0,0,79774499,9808340,0,33784282,20270569,21796311,184614756,30078909,21796311,236489976,60811709,52071388,71731659,184614756,651
bundi,2006,2,SMALL (1.0 - 1.99),35582,12632,5167,295,2214,7086,100722159,0,0,0,11073236,0,43554730,33957925,0,160340464,94934547,66439419,304617353,139965708,66439419,511022480,89936826,76545592,138134935,304617353,441
bundi,2006,3,SEMI-MEDIUM (2.0 - 3.99),28309,10404,3079,236,2013,6514,64494771,0,0,0,0,26650732,54604389,52116987,0,125791456,284925939,91796966,244890616,337042926,118447698,700381240,80230548,58412482,106247586,244890616,354
bundi,2006,4,MEDIUM (4.0 - 9.99),14495,6740,1144,572,1462,4386,37191118,0,0,0,72157127,25429824,32677324,63892434,12714912,72411425,298164692,200577741,142279867,434214253,238722477,815216597,43993596,35601754,62684517,142279867,189
bundi,2006,5,LARGE (10 AND ABOVE),1530,867,274,58,274,431,16202307,0,0,0,3923076,8826923,6669230,29030769,2746153,12749999,29717307,33346153,35621536,62671152,44919229,143211917,14917499,10249038,10454999,35621536,57
bundi,2016,1,MARGINAL (BELOW 1.0),75607,43500,27447,0,19161,5179,553074480,0,0,0,0,0,1297239300,305537400,0,740539800,129465000,0,2590853580,435002400,0,3025855980,273430080,74053980,2243369520,2590853580,20714
bundi,2016,2,SMALL (1.0 - 1.99),44161,32703,22677,0,14561,4774,645949260,0,0,0,0,0,1439421300,458323200,0,298387500,126516300,11935500,2383758060,584839500,11935500,2980533060,267474555,45951675,2070331830,2383758060,16472
bundi,2016,3,SEMI-MEDIUM (2.0 - 3.99),29738,23308,14467,115,13549,3904,580989200,0,0,0,2296400,0,1734011640,772164500,11482000,470762000,62002800,17223000,2785762840,836463700,28705000,3650931540,222521160,89329960,2473911720,2785762840,14469
bundi,2016,4,MEDIUM (4.0 - 9.99),11559,10047,6090,272,6556,1862,352484730,0,0,0,13188600,0,1268006310,650469510,53375040,324672300,56827350,1939500,1945163340,720485460,55314540,2720963340,146897730,89023050,1709242560,1945163340,8650
bundi,2016,5,LARGE (10 AND ABOVE),920,762,456,18,526,175,47260200,0,0,0,876000,0,208996080,50326200,2628000,33682200,5387400,0,289938480,56589600,2628000,349156080,16644000,15680400,257614080,289938480,832
churu,2006,1,MARGINAL (BELOW 1.0),6038,356,198,0,0,158,993092,0,0,0,0,0,0,0,0,993092,794473,0,1986184,794473,0,2780657,0,0,1986184,1986184,39
churu,2006,2,SMALL (1.0 - 1.99),17884,2688,1186,158,553,791,8546336,0,0,0,2215716,0,0,0,76363097,9416796,0,31653097,17963132,2215716,108016194,128195042,0,0,17963132,17963132,79
churu,2006,3,SEMI-MEDIUM (2.0 - 3.99),48015,5355,3443,0,765,1147,24390089,0,0,0,0,0,14347111,0,38258964,28215986,0,0,66953186,0,38258964,105212150,0,0,66953186,66953186,191
churu,2006,4,MEDIUM (4.0 - 9.99),77712,12493,3961,0,4266,4266,41903529,0,0,0,0,0,39617882,0,518079999,169137882,21332705,15237647,250659293,21332705,533317646,805309644,0,914258,249745035,250659293,608
churu,2006,5,LARGE (10 AND ABOVE),36774,5835,1605,145,1897,2188,14578264,0,0,0,0,11674285,12841714,0,313746428,176135785,0,14592857,203555763,0,340013570,543569333,0,15322499,188233264,203555763,435
churu,2016,1,MARGINAL (BELOW 1.0),14735,5769,1403,0,2339,2183,67123638,0,0,0,0,0,146798680,0,0,206282238,0,0,420204556,0,0,420204556,0,38590200,381614356,420204556,2494
churu,2016,2,SMALL (1.0 - 1.99),31568,15382,1739,0,8828,5618,48421120,0,0,0,0,0,1027143308,66880000,26752000,789184000,25414400,13376000,1864748428,92294400,40128000,1997170828,20064000,161715840,1682968588,1864748428,6154
churu,2016,3,SEMI-MEDIUM (2.0 - 3.99),66448,35100,2679,0,19292,13665,54391820,0,0,0,0,0,2300265168,471574400,40191000,2071712080,80382000,80382000,4426369068,551956400,120573000,5098898468,0,568032800,3858336268,4426369068,20097
churu,2016,4,MEDIUM (4.0 - 9.99),84906,50290,4898,0,28411,18940,177975200,0,0,0,0,0,5216142880,1162553600,411465600,4540164007,0,0,9934282087,1162553600,411465600,11508301287,101233600,2323474400,7509574087,9934282087,24166
churu,2016,5,LARGE (10 AND ABOVE),29336,19636,2248,0,11474,7334,91793040,0,0,0,0,0,3521375010,343041000,59145000,2576474490,0,0,6189642540,343041000,59145000,6591828540,28389600,1535995650,4625257290,6189642540,13131
dausa,2006,1,MARGINAL (BELOW 1.0),51040,6791,1652,917,1285,2937,24051223,0,0,0,49571223,0,46266474,11933812,0,26805179,39473381,7343884,97122876,100978416,7343884,205445176,6793093,550791,89778992,97122876,549
dausa,2006,2,SMALL (1.0 - 1.99),30327,9108,1378,1166,1166,5620,28524346,0,0,0,54079615,10603846,16966153,18556730,0,72212192,158845615,58321153,117702691,231481960,68924999,418109650,9596480,4559653,103546558,117702691,318
